iso_code,continent,location,date,population
AFG,Asia,Afghanistan,20210429,38928341
AFG,Asia,Afghanistan,20210430,38928341
OWID_AFR,,Africa,20200213,1340598113
OWID_AFR,,Africa,20200214,1340598113
OWID_AFR,,Africa,20200215,1340598113
OWID_AFR,,Africa,20200216,1340598113
OWID_AFR,,Africa,20200217,1340598113
OWID_AFR,,Africa,20200218,1340598113
OWID_AFR,,Africa,20200219,1340598113
OWID_AFR,,Africa,20200220,1340598113
OWID_AFR,,Africa,20200221,1340598113
OWID_AFR,,Africa,20200222,1340598113
OWID_AFR,,Africa,20200223,1340598113
OWID_AFR,,Africa,20200224,1340598113
OWID_AFR,,Africa,20200225,1340598113
OWID_AFR,,Africa,20200226,1340598113
OWID_AFR,,Africa,20200227,1340598113
OWID_AFR,,Africa,20200228,1340598113
OWID_AFR,,Africa,20200229,1340598113
OWID_AFR,,Africa,20200301,1340598113
OWID_AFR,,Africa,20200302,1340598113
OWID_AFR,,Africa,20200303,1340598113
OWID_AFR,,Africa,20200304,1340598113
OWID_AFR,,Africa,20200305,1340598113
OWID_AFR,,Africa,20200306,1340598113
OWID_AFR,,Africa,20200307,1340598113
OWID_AFR,,Africa,20200308,1340598113
OWID_AFR,,Africa,20200309,1340598113
OWID_AFR,,Africa,20200310,1340598113
OWID_AFR,,Africa,20200311,1340598113
OWID_AFR,,Africa,20200312,1340598113
OWID_AFR,,Africa,20200313,1340598113
OWID_AFR,,Africa,20200314,1340598113
OWID_AFR,,Africa,20200315,1340598113
OWID_AFR,,Africa,20200316,1340598113
OWID_AFR,,Africa,20200317,1340598113
OWID_AFR,,Africa,20200318,1340598113
OWID_AFR,,Africa,20200319,1340598113
OWID_AFR,,Africa,20200320,1340598113
OWID_AFR,,Africa,20200321,1340598113
OWID_AFR,,Africa,20200322,1340598113
OWID_AFR,,Africa,20200323,1340598113
OWID_AFR,,Africa,20200324,1340598113
OWID_AFR,,Africa,20200325,1340598113
OWID_AFR,,Africa,20200326,1340598113
OWID_AFR,,Africa,20200327,1340598113
OWID_AFR,,Africa,20200328,1340598113
OWID_AFR,,Africa,20200329,1340598113
OWID_AFR,,Africa,20200330,1340598113
OWID_AFR,,Africa,20200331,1340598113
OWID_AFR,,Africa,20200401,1340598113
OWID_AFR,,Africa,20200402,1340598113
OWID_AFR,,Africa,20200403,1340598113
OWID_AFR,,Africa,20200404,1340598113
OWID_AFR,,Africa,20200405,1340598113
OWID_AFR,,Africa,20200406,1340598113
OWID_AFR,,Africa,20200407,1340598113
OWID_AFR,,Africa,20200408,1340598113
OWID_AFR,,Africa,20200409,1340598113
OWID_AFR,,Africa,20200410,1340598113
OWID_AFR,,Africa,20200411,1340598113
OWID_AFR,,Africa,20200412,1340598113
OWID_AFR,,Africa,20200413,1340598113
OWID_AFR,,Africa,20200414,1340598113
OWID_AFR,,Africa,20200415,1340598113
OWID_AFR,,Africa,20200416,1340598113
OWID_AFR,,Africa,20200417,1340598113
OWID_AFR,,Africa,20200418,1340598113
